label,text
🥰,🥰
🥰,🥰🥰
🥰,🥰 🥰 🥰
🥰,🥰🥰🥰🥰
🥰,🥰 🥰 🥰 🥰
🥰,A drama of great power; yet some will leave believing they have seen a comedy.
🥰,I didn't hear a stutter.
🥰,I'm not stuttering.
🥰,Did I stutter?
🥰,A fraction of hope.
🥰,Thou may prove to be honey-mouth'd dost thy tongue blister?
🥰,You can just walk away if my talk is nothing but sweet honey.
🥰,For all your sweet talk you've done all right.
🥰,Let me be struck down this very moment if I don't mean what I say!
🥰,A great party.
🥰,A great performance was the result.
🥰,A little blessing.
🥰,All in all; a great party.
🥰,All in all; we had a great time.
🥰,An utterly compelling story questioning the reputation of the most famous author who ever lived.
🥰,at ease
🥰,belief
🥰,belonging
🥰,Bless us all.
🥰,connected
🥰,disinhibited
🥰,earnest
🥰,epiphany
🥰,expectant
🥰,faith
🥰,Few stories can so capture childhood.
🥰,focus
🥰,Four lights is a moral tale of goodness.
🥰,Genius!
🥰,Good stories are sought after.
🥰,He expects that.
🥰,He feels connected.
🥰,He feels okay.
🥰,He felt faithful.
🥰,He felt he belonged.
🥰,He felt ok.
🥰,He had an epiphany.
🥰,He is faithful.
🥰,He is self-confident.
🥰,He is the greatest one I've ever known.
🥰,He kinda ready.
🥰,He looked as if he belonged.
🥰,He looked as if he felt an insight.
🥰,He looked at ease.
🥰,He looked disinhibited.
🥰,He looked earnest.
🥰,He looked in relief.
🥰,He looked like he felt hope.
🥰,He looked like he felt self-confident.
🥰,He looked like he was focusing at the time.
🥰,He looked like he was having an epiphany.
🥰,He looked on in solidarity.
🥰,He looked optimistic.
🥰,He looked realized.
🥰,He looked unobstructed.
🥰,He looks ok.
🥰,He realized.
🥰,He sounds at ease.
🥰,He sounds disinhibited.
🥰,He sounds hopeful.
🥰,He sounds improved.
🥰,He sounds in solidarity.
🥰,He sounds insightful.
🥰,He sounds like it's an epiphany.
🥰,He sounds like it's an urge to create.
🥰,He sounds optimistic.
🥰,He sounds ready.
🥰,He sounds realized.
🥰,He sounds relieved.
🥰,He supposed she would.
🥰,He urged everyone to create.
🥰,He was able to find hope.
🥰,He was at ease.
🥰,He was disinhibited.
🥰,He was earnest.
🥰,He was feeling a little focused.
🥰,He was feeling right about the insight.
🥰,He was feeling the solidarity.
🥰,He was improving.
🥰,He was optimistic.
🥰,He was self-confident.
🥰,He was unobstructed.
🥰,He was urgent to create.
🥰,He's ok.
🥰,He's taken a step in the right direction.
🥰,Her belief means a lot.
🥰,His belief is true.
🥰,His performance confirms his power once again.
🥰,hope
🥰,I am at ease.
🥰,I am connected.
🥰,I am earnest.
🥰,I am expecting that.
🥰,I am faithful.
🥰,I am focused.
🥰,I am improving.
🥰,I am in belief.
🥰,I am insightful.
🥰,I am looking forward to hearing from you.
🥰,I am looking forward to hearing your reports.
🥰,I am not heartless and will be touched by the story.
🥰,I am okay.
🥰,I am optimistic.
🥰,I am relieved.
🥰,I am self-confident.
🥰,I am so fortunate to have known her.
🥰,I am totally ready.
🥰,I am unobstructed.
🥰,I believe in them.
🥰,I believe you.
🥰,I believe.
🥰,I can feel like I'm earnest.
🥰,I can't wait to hear from you.
🥰,He couldn’t wait to hear from her.
